market,regime,signals,tickers,avg_1d_pct,win_1d_pct,avg_2d_pct,win_2d_pct,avg_3d_pct,win_3d_pct,avg_5d_pct,win_5d_pct
KOSDAQ,BEAR,896,434,3.328670413542342,66.62591687041565,2.781901769236047,63.691931540342296,2.735639252132462,60.757946210268955,2.45955847320429,52.567237163814184
KOSDAQ,BULL,164,36,2.597359688738159,67.07317073170732,0.3562042106826095,54.87804878048781,-0.3663049849272309,56.09756097560976,5.865632108288248,64.02439024390245
KOSDAQ,NEUTRAL,119,66,0.539885811032574,45.378151260504204,-2.5617497995268463,40.33613445378151,0.27924823377160096,44.537815126050425,-3.2759395534816806,27.73109243697479
KOSPI,BEAR,422,348,0.12390259326939097,62.03966005665722,-1.3563335363774536,65.72237960339945,1.1032132923188125,65.72237960339945,2.198764983096523,66.85552407932012
KOSPI,BULL,909,107,4.338906728800114,76.45764576457645,3.549886322847483,69.96699669966998,1.651604350786874,60.286028602860284,5.421131269633208,59.625962596259626
KOSPI,NEUTRAL,83,83,0.7461349734861344,55.42168674698795,2.3248070765730042,61.44578313253012,3.5529460630099985,57.831325301204814,-2.0543887571107984,30.120481927710845
US,BEAR,63,38,0.7529116917927504,68.25396825396825,1.2789301503323234,50.79365079365079,0.2643914924197572,53.96825396825397,-6.119293326831652,12.698412698412698
US,BULL,215,57,-0.2640372926112952,40.46511627906977,-0.3533730914498831,53.02325581395348,-1.730547114065749,43.25581395348837,-3.203337453935042,32.55813953488372
US,NEUTRAL,294,66,-0.5238119279499767,48.97959183673469,-1.993222079427884,37.07482993197279,-3.108570327817716,30.952380952380953,-4.8908666107373175,21.08843537414966
US,,2,2,,,,,,,,
