Tier,_tier_sort,Ticker,Name,Antigrav,Whale,Trend,1D Change,Consecutive,RS vs SPY,Entry(-2%),Target,Stop,Hold,Volume,Strategy,Surge,WR,AI Prob,Clean Hit,Conviction,Position,Context,_prob_5,_prob_clean,Decision Score
⭐T2,2,UUUU,UUUU,70,75.0pts,DOWN,+7.40%,2 UP,+9.9% vs SPY,19.21,20.74,18.25 (-5.0%),3d,✅ x2.5,🚀 AMEX Moonshot | 🎣 RSI_DIV,-,49%,66.2%,52.8%,65.5,💤 조정 (Resting),-,66.2,52.8,73.1
⭐T2,2,ORLA,ORLA,64,75.0pts,DOWN,+4.15%,2 UP,+26.2% vs SPY,16.46,17.78,15.64 (-5.0%),3d,✅ x1.6,🚀 AMEX Moonshot | 🎣 RSI_DIV | ⚡ Momentum,-,50%,64.9%,51.8%,62.9,💤 조정 (Resting),-,64.9,51.8,66.0
T3,3,NEWP,NEWP,58,55.0pts,DOWN,+4.71%,2 UP,+20.9% vs SPY,4.25,4.59,4.04 (-5.0%),3d,✅ x1.3,🚀 AMEX Moonshot | Sub-$7 | 🎣 RSI_DIV | ⚡ Momentum,-,51%,76.2%,60.9%,60.2,💤 조정 (Resting),-,76.2,60.9,65.6
T3,3,GGN,GGN,61,70.0pts,DOWN,+1.41%,2 UP,+8.8% vs SPY,5.29,5.65,5.02 (-5.0%),3d,⚠️ x1.1,🚀 AMEX Moonshot | Sub-$7 | 🎣 RSI_DIV,-,53%,70.0%,55.9%,62.5,💤 조정 (Resting),-,70.0,55.9,65.4
T3,3,SVM,SVM,61,70.0pts,DOWN,+4.52%,2 UP,+18.9% vs SPY,11.00,11.88,10.45 (-5.0%),3d,✅ x1.4,🚀 AMEX Moonshot | 🎣 RSI_DIV | ⚡ Momentum,-,54%,63.9%,51.0%,60.8,💤 조정 (Resting),-,63.9,51.0,59.6
