Tier,_tier_sort,Ticker,Name,Antigrav,Whale,Trend,1D Change,Consecutive,RS vs SPY,Entry(-2%),Target,Stop,Hold,Volume,Strategy,Surge,WR,AI Prob,Clean Hit,Conviction,Position,Context,_prob_5,_prob_clean,Decision Score
⭐T2,2,FTF,FTF,67,85.0pts,DOWN,+1.03%,3 UP,+1.8% vs SPY,5.77,5.94,5.61 (-2.8%),3d,✅ x1.9,🚀 AMEX Moonshot | Sub-$7 | 🚀 Momentum,-,50%,68.5%,54.7%,61.0,🌋 고점 (Peak),-,68.5,54.7,93.8
T3,3,TRX,TRX,56,70.0pts,DOWN,+5.67%,2 UP,+15.4% vs SPY,1.55,1.68,1.48 (-5.0%),3d,✅ x2.2,🚀 AMEX Moonshot | Sub-$7 | 🎣 RSI_DIV | ⚡ Momentum,-,35%,85.4%,68.3%,64.0,💤 조정 (Resting),-,85.4,68.3,79.0
T3,3,IDR,IDR,61,65.0pts,DOWN,+4.84%,4 UP,+15.9% vs SPY,33.00,35.64,31.35 (-5.0%),3d,✅ x1.4,🚀 AMEX Moonshot | 🎣 RSI_DIV | ⚡ Momentum,-,52%,64.3%,51.3%,60.3,💤 조정 (Resting),-,64.3,51.3,60.3
