id,ticker,stock_name,alpha_score,tech_score,ml_prob,whale_score,fund_status,trend,market_type,created_at,tier,volume,context,surge,win_rate,position,strategy,decision_score,run_id,priority_rank,decision,decision_bucket,outcome_status,recommended_at,outcome_recorded_at,horizon,base_trade_date,entry_reference_price,latest_return_pct,return_1d_pct,return_2d_pct,return_3d_pct,return_5d_pct,source_ref,scan_mode,return_30m_pct,return_1h_pct,return_close_pct,strategy_family,return_7d_pct,market,quality_flags,validation_excluded,phase25_variant,phase25_shadow_variant,phase25_shadow_prob,phase25_recommended_threshold,primary_theme,theme_source,theme_inference_status,secondary_themes,theme_routing_path,expected_edge_score,expected_return_1d_pct,expected_return_3d_pct,selection_lane,target_horizon_days,price_band,is_sub7,max_return_observed_pct,label_win_close,label_win_1d,label_win_3d,label_hit_5pct,label_hit_10pct,label_hit_20pct,label_hit_50pct,label_hit_100pct
22708,001250.KS,GS글로벌,,,14.0,,,UP,KR,2026-04-09T16:32:31.083583+00:00,,,,,,,planner_handoff.watchlist_meta#001250.KS,105.6,RUN-2DA73508,2.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-09T16:32:31.083583+00:00,,T+2D,,3760.0,,,,,,planner_handoff.watchlist_meta#001250.KS,SWING,,,,,,KOSPI,,,,,,,철강/금속/소재,stock_master,inferred,['건설/부동산'],core_only,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22709,278470.KS,에이피알,,,25.0,,,UP,KR,2026-04-09T16:32:31.083583+00:00,,,,,,,planner_handoff.watchlist_meta#278470.KS,101.3,RUN-2DA73508,3.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-09T16:32:31.083583+00:00,,T+2D,,335500.0,,,,,,planner_handoff.watchlist_meta#278470.KS,SWING,,,,,,KOSPI,,,,,,,바이오/헬스케어,stock_master,inferred,"['철강/금속/소재', '소비재/유통']",core_only,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22710,011930.KS,신성이엔지,,,31.0,,,UP,KR,2026-04-09T16:32:31.083583+00:00,,,,,,,planner_handoff.watchlist_meta#011930.KS,94.9,RUN-2DA73508,4.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-09T16:32:31.083583+00:00,,T+2D,,3355.0,,,,,,planner_handoff.watchlist_meta#011930.KS,SWING,,,,,,KOSPI,,,,,,,반도체,stock_master,inferred,"['로봇/자동화', '친환경/에너지']",core_only,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22711,034730.KS,SK,,,26.0,,,DOWN,KR,2026-04-09T16:32:31.083583+00:00,,,,,,,planner_handoff.watchlist_meta#034730.KS,86.6,RUN-2DA73508,5.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-09T16:32:31.083583+00:00,,T+2D,,342000.0,,,,,,planner_handoff.watchlist_meta#034730.KS,SWING,,,,,,KOSPI,,,,,,,통신/네트워크,stock_master,inferred,['IT서비스/플랫폼'],theme_shadow,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22712,012450.KS,한화에어로스페이스,,,25.0,,,UP,KR,2026-04-09T16:32:31.083583+00:00,,,,,,,planner_handoff.watchlist_meta#012450.KS,82.7,RUN-2DA73508,6.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-09T16:32:31.083583+00:00,,T+2D,,1484000.0,,,,,,planner_handoff.watchlist_meta#012450.KS,SWING,,,,,,KOSPI,,,,,,,방산,stock_master,rule_inferred,[],core_only,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22713,120110.KS,코오롱인더,,,25.0,,,UP,KR,2026-04-09T16:32:31.083583+00:00,,,,,,,planner_handoff.watchlist_meta#120110.KS,79.3,RUN-2DA73508,7.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-09T16:32:31.083583+00:00,,T+2D,,83300.0,,,,,,planner_handoff.watchlist_meta#120110.KS,SWING,,,,,,KOSPI,,,,,,,철강/금속/소재,stock_master,inferred,[],core_only,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22714,005490.KS,POSCO홀딩스,,,19.0,,,DOWN,KR,2026-04-09T16:32:31.083583+00:00,,,,,,,planner_handoff.watchlist_meta#005490.KS,78.0,RUN-2DA73508,8.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-09T16:32:31.083583+00:00,,T+2D,,362500.0,,,,,,planner_handoff.watchlist_meta#005490.KS,SWING,,,,,,KOSPI,,,,,,,철강/금속/소재,stock_master,inferred,[],core_only,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22715,003030.KS,세아제강지주,,,18.0,,,UP,KR,2026-04-09T16:32:31.083583+00:00,,,,,,,planner_handoff.watchlist_meta#003030.KS,74.6,RUN-2DA73508,9.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-09T16:32:31.083583+00:00,,T+2D,,235000.0,,,,,,planner_handoff.watchlist_meta#003030.KS,SWING,,,,,,KOSPI,,,,,,,금융,stock_master,inferred,[],core_only,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22716,052690.KS,한전기술,,,23.0,,,UP,KR,2026-04-09T16:32:31.083583+00:00,,,,,,,planner_handoff.watchlist_meta#052690.KS,65.8,RUN-2DA73508,10.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-09T16:32:31.083583+00:00,,T+2D,,172800.0,,,,,,planner_handoff.watchlist_meta#052690.KS,SWING,,,,,,KOSPI,,,,,,,친환경/에너지,stock_master,inferred,[],core_only,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
21170,012450.KS,한화에어로스페이스,,,23.0,,,UP,KR,2026-04-09T10:56:40.149161+00:00,,,,,,,planner_handoff.json#012450.KS,91.1,RUN-76FA9053,1.0,PRIORITY_WATCHLIST,picked,PENDING,2026-04-09T10:56:40.149161+00:00,,T+3D,2026-04-09,1451000.0,3.859407,3.859407,,,,planner_handoff.json#012450.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,방산,stock_master,rule_inferred,[],theme_routed,,,,3d,3,gt_15,0,3.859407,0,1,0,0,0,0,0,0
