iter	Logloss
309	0.4026437174
310	0.4024963394
311	0.4023721414
312	0.4021800084
313	0.4019931237
314	0.4017092617
315	0.4016130804
316	0.401275069
317	0.4008724753
318	0.4006302472
319	0.400492639
320	0.4002943283
321	0.4001817456
322	0.4000224037
323	0.3998752738
324	0.3996867879
325	0.3995787984
326	0.399449838
327	0.3991945583
328	0.3989080938
329	0.3986910919
330	0.3985469767
331	0.3983088006
332	0.3980487932
333	0.3976390665
334	0.3974292389
335	0.3971664205
336	0.3969207753
337	0.3966738836
338	0.3964947939
339	0.3961614027
340	0.3958599888
341	0.3956079928
342	0.3954053099
343	0.3952890393
344	0.3951535646
345	0.3949476292
346	0.3947188538
347	0.3943496918
348	0.3940391459
349	0.3937310874
