iter	Logloss
0	0.6797690619
1	0.6669272176
2	0.6556934841
3	0.6440755895
4	0.6332421695
5	0.6230063953
6	0.6129872028
7	0.6040571912
8	0.5966493096
9	0.5892985776
10	0.5809127448
11	0.5747133648
12	0.5685585617
13	0.5635526005
14	0.5585092443
15	0.5537712686
16	0.5495212402
17	0.544891644
18	0.541110664
19	0.5373174254
20	0.534610523
21	0.5310424073
22	0.5275256688
23	0.5239961695
24	0.5211351482
25	0.5177474221
26	0.5149051902
27	0.5127199036
28	0.5102461604
29	0.5084562984
30	0.5063991404
31	0.5046772509
32	0.5025449407
33	0.500839783
34	0.4990094732
35	0.4974698466
36	0.4958680728
37	0.4948399879
38	0.4934670579
39	0.4920081202
40	0.4907190978
41	0.4892281363
42	0.4877731266
43	0.4865830988
44	0.4853307487
45	0.4844862828
46	0.4832933054
47	0.4820273505
48	0.4807188364
49	0.4798746771
50	0.478633843
51	0.4777199925
52	0.476825154
53	0.4759424489
54	0.475143072
55	0.4748898717
56	0.4746491196
57	0.4735020942
58	0.4729894598
59	0.4728231234
60	0.4715068881
61	0.4709389632
62	0.4698728129
63	0.4686421505
64	0.468118644
65	0.4673494996
66	0.466464546
67	0.4656281877
68	0.4654542801
69	0.4649470807
70	0.4645132373
71	0.4639080312
72	0.4638355639
73	0.4634600586
74	0.4628250152
75	0.4621416208
76	0.4616615557
77	0.4609093109
78	0.4604769181
79	0.459667625
80	0.4591786072
81	0.4585557283
82	0.4580533419
83	0.4577110143
84	0.4571932405
85	0.4565863358
86	0.4560132863
87	0.4553115819
88	0.4544927407
89	0.4538471628
90	0.4537974191
91	0.4537416467
92	0.4533777942
93	0.4529018914
94	0.4527065027
95	0.4520056726
96	0.4519868646
97	0.4515726017
98	0.4508397154
99	0.4503799057
100	0.4498650046
101	0.4498498826
102	0.4493084056
103	0.449297832
104	0.449060362
105	0.4486539192
106	0.4483074087
107	0.4477827081
108	0.4470089147
109	0.4467426917
110	0.4464856453
111	0.4462722756
112	0.4454751476
113	0.4450677336
114	0.4447745207
115	0.4444767025
116	0.4439951033
117	0.4434559822
118	0.4432684842
119	0.4429076222
120	0.4425278929
121	0.4421248684
122	0.4419957572
123	0.4417651065
124	0.441555706
125	0.4413596232
126	0.441357076
127	0.4412211077
128	0.4408762968
129	0.4408344071
130	0.4404201997
131	0.4399988269
132	0.4398063523
133	0.4394484487
134	0.439446053
135	0.4393783474
136	0.4392469787
137	0.439026777
138	0.4390272506
139	0.4387099875
140	0.4387122609
141	0.4383686379
142	0.4378765523
143	0.4375906725
144	0.4372066184
145	0.4369759771
146	0.436766484
147	0.436157837
148	0.4359256237
149	0.4355118093
150	0.435470811
151	0.4353106147
152	0.4351725899
153	0.4349539038
154	0.4347200863
155	0.4344391626
156	0.4341728728
157	0.4339362671
158	0.4336165586
159	0.433406831
160	0.4330901928
161	0.4327456221
162	0.4324758866
163	0.4321692451
164	0.4318681727
165	0.4315302223
166	0.4314009329
167	0.4311527564
168	0.4308712203
169	0.430870321
170	0.4306770692
171	0.4303891175
172	0.4301864559
173	0.429962734
174	0.429753668
175	0.4296452285
176	0.4294325292
177	0.4294309653
178	0.4292425962
179	0.4292428635
180	0.4290025264
181	0.4288695112
182	0.428287795
183	0.4282878192
184	0.4281954881
185	0.4279561412
186	0.4276733828
187	0.427317317
188	0.4271580623
189	0.4266784103
190	0.4264283211
191	0.4260954534
192	0.4258571064
193	0.4257815543
194	0.4256118279
195	0.4252410574
196	0.424929412
197	0.4245025396
198	0.4241701979
199	0.4240423847
200	0.4236040606
201	0.4232994968
202	0.4232050142
203	0.4231033808
204	0.422582647
205	0.4223318683
206	0.4223330723
207	0.4220410023
208	0.4218605117
209	0.4217531724
210	0.4217492888
211	0.421509659
212	0.4212662579
213	0.4211176135
214	0.4210681036
215	0.420870717
216	0.4206829033
217	0.4205453392
218	0.420253967
219	0.4200692634
220	0.4199327629
221	0.4194536455
222	0.4191925283
223	0.4190543215
224	0.4189762168
225	0.4185959158
226	0.41850579
227	0.4184004753
228	0.4179973649
229	0.41779093
230	0.4176493648
231	0.4173570096
232	0.4171143195
233	0.4171136164
234	0.4168798015
235	0.416504439
236	0.4161924311
237	0.41605328
238	0.4158765314
239	0.4157763769
240	0.41550581
241	0.4152604607
242	0.4151712147
243	0.4148859871
244	0.4146984417
245	0.4143424186
246	0.4143423319
247	0.4141761154
248	0.4141158024
249	0.4139798171
250	0.4139016075
251	0.41372171
252	0.4135599075
253	0.4132936962
254	0.4131113341
255	0.4129074892
256	0.4124779647
257	0.4124627458
258	0.4124623015
259	0.4123780253
260	0.4123121218
261	0.4121022393
262	0.411763417
263	0.4114777285
264	0.4112899924
265	0.4111646713
266	0.4111639013
267	0.411110525
268	0.4110434598
269	0.410944536
270	0.4107145423
271	0.41033232
272	0.410150074
273	0.4099077735
274	0.4096511611
275	0.4094575562
276	0.4092163931
277	0.4090438087
278	0.408803307
279	0.4085721346
280	0.4084744171
281	0.4081238263
282	0.407889853
283	0.4078344523
284	0.4075452433
285	0.4074263726
286	0.4071575708
287	0.4069445069
288	0.4067397817
289	0.4067380812
290	0.406506419
291	0.4061619169
292	0.4059283596
293	0.4056524861
294	0.4053022216
295	0.4050968215
296	0.4050919158
297	0.4049383538
298	0.4047312026
299	0.4044446632
300	0.4043291316
301	0.4041104202
302	0.4040028932
303	0.4037527032
304	0.4035443409
305	0.4032925389
306	0.403121931
307	0.4028805536
308	0.4027341973
