Tier,_tier_sort,Ticker,Name,Antigrav,Whale,Trend,1D Change,Consecutive,RS vs SPY,Entry(-2%),Target,Stop,Hold,Volume,Strategy,Surge,WR,AI Prob,Clean Hit,Conviction,Position,Context,_prob_5,_prob_clean,Decision Score
⭐T2,2,FTF,FTF,71,85.0pts,DOWN,+1.03%,3 UP,+1.7% vs SPY,5.77,5.94,5.61 (-2.8%),3d,✅ x2.1,🚀 AMEX Moonshot | Sub-$7 | 🚀 Momentum,-,50%,69.8%,55.8%,62.9,🌋 고점 (Peak),-,69.8,55.8,104.6
T3,3,TRX,TRX,56,70.0pts,DOWN,+5.35%,2 UP,+15.0% vs SPY,1.55,1.67,1.47 (-5.0%),3d,✅ x2.4,🚀 AMEX Moonshot | Sub-$7 | 🎣 RSI_DIV | ⚡ Momentum,-,35%,86.1%,68.9%,64.2,💤 조정 (Resting),-,86.1,68.9,79.7
T3,3,IDR,IDR,61,65.0pts,DOWN,+4.59%,4 UP,+15.5% vs SPY,32.92,35.56,31.28 (-5.0%),3d,✅ x1.5,🚀 AMEX Moonshot | 🎣 RSI_DIV | ⚡ Momentum,-,52%,64.3%,51.3%,60.3,💤 조정 (Resting),-,64.3,51.3,60.3
