Tier,_tier_sort,티커,종목명,Antigrav,수급,추세,전일비,연속등락,매수가(-2%),목표가(+3.5%),손절가,보유한도,거래량,시장맥락,전략,급등예측,승률,AI확률,정밀확률,확신도,위치,_prob_5,_prob_clean,Decision Score,scan_mode,strategy_family,_theme_context,_leader_metrics,_routing_path,테마,phase25_variant,phase25_prob,phase25_shadow_variant,phase25_shadow_prob,phase25_recommended_threshold,model_trace_status,model_error,expected_edge_score,expected_return_1d_pct,expected_return_3d_pct
⚡T0,0,012450.KS,한화에어로스페이스,100,80.0점 ↗ 순매수,UP,+3.51%,1일 연속 상승,"1,471,960","1,589,717","1,398,362 (-5.0%)",3일,⚠️ 1.0,🔥 수혜,🚀 Momentum | Ranker:6.6%,-,54%,21.3%,30.6%,79.5,🚀 상승 (Rising),21.3,30.6,76.9,SWING,KR_CORE,"{'primary_theme': '방산', 'theme_direction': 'NEUTRAL', 'theme_strength_score': 0.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'rule_inferred', 'secondary_themes': [], 'is_spac': False, 'routing_path': 'core_only', 'theme_reasons': ['THEME_LEADER_PRE_RANK_STRONG', 'THEME_LEADER_SCORE_HIGH', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '방산', 'confidence': 0.9, 'theme_source': 'stock_master'}, {'theme_name': '금융', 'confidence': 0.72, 'theme_source': 'keyword_fallback'}]}","{'theme_name': '방산', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 1.0, 'turnover_growth_5d': 1.116, 'breakout_quality_score': 48.1, 'close_location_score': 86.9, 'expansion_potential_score': 55.9, 'leader_score': 74.9, 'scan_mode': 'SWING'}",core_only,방산,phase25_kr_swing_xgboost,2.2,phase25_kr_swing_lightgbm,56.0,25.0,ok,,-14.0,-1.19,-1.87
⚡T0,0,034020.KS,두산에너빌리티,94,85.0점 🔥 가속매수,UP,-0.30%,2일 연속 하락,"97,706","106,520","92,583 (-5.2%)",3일,⚠️ 0.7,-,🎣 RSI_DIV | Profile:POSITIVE | Ranker:5.2%,-,47%,19.0%,34.8%,80.8,🚀 상승 (Rising),19.0,34.8,56.6,SWING,KR_CORE,"{'primary_theme': '조선/해양', 'theme_direction': 'NEUTRAL', 'theme_strength_score': 0.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'inferred', 'secondary_themes': ['건설/부동산'], 'is_spac': False, 'routing_path': 'core_only', 'theme_reasons': ['seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '조선/해양', 'confidence': 0.9, 'theme_source': 'stock_master'}, {'theme_name': '건설/부동산', 'confidence': 0.7, 'theme_source': 'stock_master'}, {'theme_name': '금융', 'confidence': 0.72, 'theme_source': 'keyword_fallback'}]}","{'theme_name': '조선/해양', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 0.6704, 'turnover_growth_5d': 0.666, 'breakout_quality_score': 40.0, 'close_location_score': 41.0, 'expansion_potential_score': 48.7, 'leader_score': 60.5, 'scan_mode': 'SWING'}",core_only,조선/해양,phase25_kr_swing_xgboost,5.0,phase25_kr_swing_lightgbm,56.0,25.0,ok,,-16.56,-1.41,-2.3
