Tier,_tier_sort,티커,종목명,Antigrav,수급,추세,전일비,연속등락,매수가(-2%),목표가(+3.5%),손절가,보유한도,거래량,시장맥락,전략,급등예측,승률,AI확률,정밀확률,확신도,위치,_prob_5,_prob_clean,Decision Score,scan_mode,strategy_family,_theme_context,_leader_metrics,_routing_path,테마,phase25_variant,phase25_prob,phase25_shadow_variant,phase25_shadow_prob,phase25_recommended_threshold,model_trace_status,model_error,expected_edge_score,expected_return_1d_pct,expected_return_3d_pct
⭐T2,2,006400.KS,삼성SDI,70,80.0점 ↗ 순매수,UP,+0.73%,5일 연속 상승,"473,830","570,726","442,532 (-6.6%)",3일,⚠️ 1.1,-,🚀 Momentum | Profile:POSITIVE | Ranker:5.0%,-,47%,24.9%,29.9%,62.9,🌋 고점 (Peak),24.9,29.9,97.4,SWING,KR_CORE,"{'primary_theme': '2차전지', 'theme_direction': 'BENEFICIARY', 'theme_strength_score': 27.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'inferred', 'secondary_themes': [], 'is_spac': False, 'routing_path': 'theme_shadow', 'theme_reasons': ['THEME_BENEFICIARY', 'THEME_LEADER_PRE_RANK_STRONG', 'THEME_LEADER_SCORE_HIGH', 'evidence:[주달 상승테마] 2차전지 | 주달', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '2차전지', 'confidence': 0.9, 'theme_source': 'stock_master'}, {'theme_name': '방산', 'confidence': 0.72, 'theme_source': 'keyword_fallback'}, {'theme_name': '건설/부동산', 'confidence': 0.72, 'theme_source': 'keyword_fallback'}]}","{'theme_name': '2차전지', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 1.0, 'turnover_growth_5d': 1.381, 'breakout_quality_score': 49.2, 'close_location_score': 91.6, 'expansion_potential_score': 59.2, 'leader_score': 79.0, 'scan_mode': 'SWING'}",theme_shadow,2차전지,phase25_kr_swing_xgboost,2.4,phase25_kr_swing_lightgbm,56.0,25.0,ok,,-8.72,-0.74,-1.0
⚡T0,0,012450.KS,한화에어로스페이스,100,80.0점 ↗ 순매수,UP,+3.24%,1일 연속 상승,"1,468,040","1,585,483","1,394,638 (-5.0%)",3일,⚠️ 1.0,🔥 수혜,🚀 Momentum | Ranker:6.6%,-,55%,21.3%,31.6%,81.4,🚀 상승 (Rising),21.3,31.6,77.4,SWING,KR_CORE,"{'primary_theme': '방산', 'theme_direction': 'NEUTRAL', 'theme_strength_score': 0.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'rule_inferred', 'secondary_themes': [], 'is_spac': False, 'routing_path': 'core_only', 'theme_reasons': ['THEME_LEADER_PRE_RANK_STRONG', 'THEME_LEADER_SCORE_HIGH', 'alias:방산', 'keyword:방산', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '방산', 'confidence': 0.9, 'theme_source': 'stock_master'}, {'theme_name': '건설/부동산', 'confidence': 0.72, 'theme_source': 'keyword_fallback'}]}","{'theme_name': '방산', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 1.0, 'turnover_growth_5d': 1.115, 'breakout_quality_score': 47.7, 'close_location_score': 85.7, 'expansion_potential_score': 55.9, 'leader_score': 74.7, 'scan_mode': 'SWING'}",core_only,방산,phase25_kr_swing_xgboost,2.2,phase25_kr_swing_lightgbm,56.0,25.0,ok,,-13.13,-1.12,-1.73
