Tier,_tier_sort,Ticker,Name,Antigrav,Whale,Trend,1D Change,Consecutive,RS vs SPY,Entry(-2%),Target,Stop,Hold,Volume,Strategy,Surge,WR,AI Prob,Clean Hit,Conviction,Position,Context,_prob_5,_prob_clean,Decision Score
⭐T2,2,UUUU,UUUU,70,75.0pts,DOWN,+7.84%,2 UP,+10.3% vs SPY,19.29,20.83,18.32 (-5.0%),3d,✅ x2.5,🚀 AMEX Moonshot | 🎣 RSI_DIV | ⚡ Momentum,-,49%,75.8%,60.6%,68.1,💤 조정 (Resting),-,75.8,60.6,82.3
⭐T2,2,ORLA,ORLA,64,75.0pts,DOWN,+4.09%,2 UP,+26.1% vs SPY,16.45,17.77,15.63 (-5.0%),3d,✅ x1.6,🚀 AMEX Moonshot | 🎣 RSI_DIV | ⚡ Momentum,-,50%,65.4%,52.2%,63.1,💤 조정 (Resting),-,65.4,52.2,66.5
T3,3,GGN,GGN,61,70.0pts,DOWN,+1.22%,2 UP,+8.6% vs SPY,5.28,5.64,5.01 (-5.0%),3d,⚠️ x1.2,🚀 AMEX Moonshot | Sub-$7 | 🎣 RSI_DIV,-,52%,70.6%,56.3%,62.5,💤 조정 (Resting),-,70.6,56.3,66.0
T3,3,DNN,DNN,57,60.0pts,DOWN,+8.64%,2 UP,+9.4% vs SPY,3.76,4.06,3.57 (-5.0%),3d,⚠️ x1.1,🚀 AMEX Moonshot | Sub-$7 | 🎣 RSI_DIV,-,43%,76.6%,61.2%,60.0,💤 조정 (Resting),-,76.6,61.2,65.8
T3,3,NEWP,NEWP,58,55.0pts,DOWN,+4.59%,2 UP,+20.7% vs SPY,4.24,4.58,4.03 (-5.0%),3d,✅ x1.3,🚀 AMEX Moonshot | Sub-$7 | 🎣 RSI_DIV | ⚡ Momentum,-,51%,76.2%,60.9%,60.2,💤 조정 (Resting),-,76.2,60.9,65.6
