,Ticker,Reason,Alpha,Conviction,Prob5,Clean,Trend,Tier,Name,Market,Regime,ExceptionScore,RecommendException,ExceptionReasons,ProfilePolicy,ProfileAdjustment,ProfileConfidence,ProfileSignals,ProfileWin5D,ProfileAvg5D,ProfileRR
29,036540.KQ,KR_HARD_FILTER_FAIL,27.0,,,,UP,,SFA반도체,KOSDAQ,BEAR,55.3,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;TREND_UP,POSITIVE,9.3,0.602,3,100.0,1.8705035971223083,1.4
130,131290.KQ,KR_HARD_FILTER_FAIL,33.0,,,,UP,,티에스이,KOSDAQ,BEAR,54.9,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;TREND_UP,POSITIVE,8.9,0.602,3,100.0,0.5780346820809301,1.6
133,131970.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,44.0,56.3,20.6,17.3,,3,두산테스나,KOSDAQ,BEAR,47.2,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG,POSITIVE,9.2,0.602,3,100.0,1.129032258064511,1.6
15,023160.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,56.0,63.2,38.9,30.8,,3,태광,KOSDAQ,BEAR,43.0,Y,ALPHA_55_PLUS;CONVICTION_58_PLUS;PROB5_35_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,NONE,0.0,0.0,,,,
51,052020.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,48.0,60.6,38.1,26.1,,3,에스티큐브,KOSDAQ,BEAR,35.0,Y,ALPHA_45_PLUS;CONVICTION_58_PLUS;PROB5_35_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,NONE,0.0,0.0,,,,
33,037230.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,56.0,64.0,22.2,24.1,,3,한국팩키지,KOSDAQ,BEAR,32.0,Y,ALPHA_55_PLUS;CONVICTION_58_PLUS;PRECISION_GATE_BORDERLINE,NONE,0.0,0.0,,,,
13,019210.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,41.0,58.6,38.7,28.5,,3,와이지-원,KOSDAQ,BEAR,25.0,N,CONVICTION_58_PLUS;PROB5_35_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,NONE,0.0,0.0,,,,
214,338840.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,41.0,60.6,37.1,30.0,,3,와이바이오로직스,KOSDAQ,BEAR,25.0,N,CONVICTION_58_PLUS;PROB5_35_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,NONE,0.0,0.0,,,,
276,950160.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,40.0,59.1,37.2,31.5,,3,코오롱티슈진,KOSDAQ,BEAR,25.0,N,CONVICTION_58_PLUS;PROB5_35_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,NONE,0.0,0.0,,,,
17,024850.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,45.0,58.7,25.1,20.7,,3,HLB이노베이션,KOSDAQ,BEAR,24.0,N,ALPHA_45_PLUS;CONVICTION_58_PLUS;PRECISION_GATE_BORDERLINE,NONE,0.0,0.0,,,,
169,226950.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,40.0,58.4,25.8,25.3,,3,올릭스,KOSDAQ,BEAR,19.0,N,CONVICTION_58_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,NONE,0.0,0.0,,,,
275,476060.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,40.0,59.0,31.9,31.7,,3,온코닉테라퓨틱스,KOSDAQ,BEAR,19.0,N,CONVICTION_58_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,NONE,0.0,0.0,,,,
117,108860.KQ,KR_HARD_FILTER_FAIL,45.0,,,,DOWN,,셀바스AI,KOSDAQ,BEAR,18.0,N,ALPHA_45_PLUS;HARD_FILTER_BORDERLINE,NONE,0.0,0.0,,,,
241,389650.KQ,KR_HARD_FILTER_FAIL,45.0,,,,DOWN,,넥스트바이오메디컬,KOSDAQ,BEAR,18.0,N,ALPHA_45_PLUS;HARD_FILTER_BORDERLINE,NONE,0.0,0.0,,,,
26,033790.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,52.0,33.4,42.8,20.2,,3,피노,KOSDAQ,BEAR,16.0,N,ALPHA_45_PLUS;PROB5_35_PLUS,NONE,0.0,0.0,,,,
135,137950.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,48.0,57.9,37.5,23.0,,3,제이씨케미칼,KOSDAQ,BEAR,16.0,N,ALPHA_45_PLUS;PROB5_35_PLUS,NONE,0.0,0.0,,,,
78,078350.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,50.0,44.2,27.2,28.1,,3,한양디지텍,KOSDAQ,BEAR,15.0,N,ALPHA_45_PLUS;CLEAN_25_PLUS,NONE,0.0,0.0,,,,
105,098070.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,41.0,59.0,23.1,24.3,,3,한텍,KOSDAQ,BEAR,14.0,N,CONVICTION_58_PLUS;PRECISION_GATE_BORDERLINE,NONE,0.0,0.0,,,,
