Tier,_tier_sort,티커,종목명,Antigrav,수급,추세,전일비,연속등락,매수가(-2%),목표가(+3.5%),손절가,보유한도,거래량,시장맥락,전략,급등예측,승률,AI확률,정밀확률,확신도,위치,_prob_5,_prob_clean,Decision Score
⭐T2,2,298380.KQ,에이비엘바이오,72,85점 장중,UP,+7.23%,장중,"179,400","185,250","176,475 (-1.6%)",당일,⚠️ x0.4,-,⏱️ Intraday Trend | 1H,📈 Trend Continuation,-,47.0%,39.4%,59.7,📈 Intraday Trend,47.0,39.4,80.0
⚡T3,3,141080.KQ,리가켐바이오,63,76점 장중,SIDE,+6.32%,장중,"203,500","212,063","199,219 (-2.1%)",당일,⚠️ x0.2,-,⏱️ Intraday Trend | 1H,📈 Trend Continuation,-,40.6%,33.8%,52.2,🟡 Reclaim,40.6,33.8,70.6
⚡T3,3,058470.KQ,리노공업,63,73점 장중,SIDE,+5.86%,장중,"101,200","104,067","99,766 (-1.4%)",당일,⚠️ x0.2,-,⏱️ Intraday Trend | 1H,📈 Trend Continuation,-,40.6%,33.8%,51.8,🟡 Reclaim,40.6,33.8,69.7
