Tier,_tier_sort,티커,종목명,Antigrav,수급,추세,전일비,연속등락,매수가(-2%),목표가(+3.5%),손절가,보유한도,거래량,시장맥락,전략,급등예측,승률,AI확률,정밀확률,확신도,위치,_prob_5,_prob_clean,Decision Score,모델,phase25_variant,phase25_prob,phase25_shadow_variant,phase25_shadow_prob,phase25_recommended_threshold,model_trace_status,model_error,expected_edge_score,expected_return_1d_pct,expected_return_3d_pct,_theme_context,_leader_metrics,_routing_path,테마,scan_mode,strategy_family
🏆T1,1,039030.KQ,이오테크닉스,85,95점 장중,UP,+3.15%,장중,"441,500","456,125","434,188 (-1.7%)",당일,✅ x2.1,-,⏱️ Intraday Breakout | 1H,⚡ High-Volume Breakout,-,41.3%,31.6%,65.0,🚀 Intraday Breakout,41.3,31.6,98.5,phase25_kr_intraday_xgboost,phase25_kr_intraday_xgboost,4.8,phase25_kr_intraday_histgb,33.9,60.0,ok,,-0.42,-0.05,0.08,"{'primary_theme': '로봇/자동화', 'theme_direction': 'BENEFICIARY', 'theme_strength_score': 27.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'rule_inferred', 'secondary_themes': [], 'is_spac': False, 'routing_path': 'theme_shadow', 'theme_reasons': ['THEME_BENEFICIARY', 'THEME_LEADER_PRE_RANK_STRONG', 'THEME_LEADER_SCORE_HIGH', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '로봇/자동화', 'confidence': 0.9, 'theme_source': 'stock_master'}]}","{'theme_name': '로봇/자동화', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 1.0, 'turnover_growth_5d': 1.151, 'breakout_quality_score': 51.1, 'close_location_score': 92.0, 'expansion_potential_score': 69.1, 'leader_score': 85.9, 'scan_mode': 'INTRADAY'}",theme_shadow,로봇/자동화,INTRADAY,KR_CORE
🏆T1,1,095340.KQ,ISC,69,100점 장중,UP,+4.44%,장중,"282,500","304,550","272,612 (-3.5%)",당일,✅ x3.7,-,⏱️ Intraday Trend | 1H,📈 Trend Continuation,-,41.2%,37.6%,65.0,📈 Intraday Trend,41.2,37.6,92.4,phase25_kr_intraday_xgboost,phase25_kr_intraday_xgboost,19.2,phase25_kr_intraday_histgb,35.7,60.0,ok,,1.61,0.18,0.43,"{'primary_theme': '반도체', 'theme_direction': 'BENEFICIARY', 'theme_strength_score': 27.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'inferred', 'secondary_themes': [], 'is_spac': False, 'routing_path': 'theme_shadow', 'theme_reasons': ['THEME_BENEFICIARY', 'THEME_LEADER_PRE_RANK_STRONG', 'THEME_LEADER_SCORE_HIGH', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '반도체', 'confidence': 0.9, 'theme_source': 'stock_master'}]}","{'theme_name': '반도체', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 1.0, 'turnover_growth_5d': 1.903, 'breakout_quality_score': 50.7, 'close_location_score': 94.5, 'expansion_potential_score': 94.5, 'leader_score': 97.2, 'scan_mode': 'INTRADAY'}",theme_shadow,반도체,INTRADAY,KR_CORE
🏆T1,1,240810.KQ,원익IPS,71,100점 장중,UP,+6.10%,장중,"123,500","127,049","121,726 (-1.4%)",당일,✅ x2.1,-,⏱️ Intraday Trend | 1H,📈 Trend Continuation,-,34.3%,31.6%,59.0,📈 Intraday Trend,34.3,31.6,86.3,phase25_kr_intraday_xgboost,phase25_kr_intraday_xgboost,6.2,phase25_kr_intraday_histgb,36.9,60.0,ok,,-6.52,-0.72,-0.96,"{'primary_theme': '반도체', 'theme_direction': 'BENEFICIARY', 'theme_strength_score': 27.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'inferred', 'secondary_themes': [], 'is_spac': False, 'routing_path': 'theme_shadow', 'theme_reasons': ['THEME_BENEFICIARY', 'THEME_LEADER_PRE_RANK_STRONG', 'THEME_LEADER_SCORE_HIGH', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '반도체', 'confidence': 0.9, 'theme_source': 'stock_master'}]}","{'theme_name': '반도체', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 1.0, 'turnover_growth_5d': 1.548, 'breakout_quality_score': 50.0, 'close_location_score': 86.7, 'expansion_potential_score': 72.0, 'leader_score': 83.6, 'scan_mode': 'INTRADAY'}",theme_shadow,반도체,INTRADAY,KR_CORE
⭐T2,2,058470.KQ,리노공업,65,82점 장중,UP,+2.00%,장중,"112,400","115,235","110,982 (-1.3%)",당일,✅ x1.8,-,⏱️ Intraday Trend | 1H,-,-,33.9%,30.5%,53.0,📈 Intraday Trend,33.9,30.5,75.5,phase25_kr_intraday_xgboost,phase25_kr_intraday_xgboost,8.3,phase25_kr_intraday_histgb,20.5,60.0,ok,,-10.18,-1.12,-1.59,"{'primary_theme': '반도체', 'theme_direction': 'BENEFICIARY', 'theme_strength_score': 27.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'inferred', 'secondary_themes': [], 'is_spac': False, 'routing_path': 'theme_shadow', 'theme_reasons': ['THEME_BENEFICIARY', 'THEME_LEADER_PRE_RANK_STRONG', 'THEME_LEADER_SCORE_HIGH', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '반도체', 'confidence': 0.9, 'theme_source': 'stock_master'}]}","{'theme_name': '반도체', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 1.0, 'turnover_growth_5d': 1.018, 'breakout_quality_score': 46.0, 'close_location_score': 50.0, 'expansion_potential_score': 64.2, 'leader_score': 72.3, 'scan_mode': 'INTRADAY'}",theme_shadow,반도체,INTRADAY,KR_CORE
⚡T3,3,403870.KQ,HPSP,67,69점 장중,UP,+3.14%,장중,"45,950","47,159","45,346 (-1.3%)",당일,⚠️ x0.8,-,⏱️ Intraday Trend | 1H,📈 Trend Continuation,-,31.3%,25.9%,47.2,📈 Intraday Trend,31.3,25.9,68.5,phase25_kr_intraday_xgboost,phase25_kr_intraday_xgboost,11.9,phase25_kr_intraday_histgb,63.9,60.0,ok,,-15.6,-1.72,-2.51,"{'primary_theme': '친환경/에너지', 'theme_direction': 'BENEFICIARY', 'theme_strength_score': 33.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'inferred', 'secondary_themes': [], 'is_spac': False, 'routing_path': 'theme_shadow', 'theme_reasons': ['THEME_BENEFICIARY', 'THEME_LEADER_SCORE_HIGH', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '친환경/에너지', 'confidence': 0.9, 'theme_source': 'stock_master'}]}","{'theme_name': '친환경/에너지', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 0.824, 'turnover_growth_5d': 1.048, 'breakout_quality_score': 50.8, 'close_location_score': 92.2, 'expansion_potential_score': 52.9, 'leader_score': 72.3, 'scan_mode': 'INTRADAY'}",theme_shadow,친환경/에너지,INTRADAY,KR_CORE
