Tier,_tier_sort,티커,종목명,Antigrav,수급,추세,전일비,연속등락,매수가(-2%),목표가(+3.5%),손절가,보유한도,거래량,시장맥락,전략,급등예측,승률,AI확률,정밀확률,확신도,위치,_prob_5,_prob_clean,Decision Score,모델,phase25_variant,phase25_shadow_variant,phase25_shadow_prob,phase25_recommended_threshold,_theme_context,_leader_metrics,_routing_path,테마,scan_mode,strategy_family
⭐T2,2,006800.KS,미래에셋증권,79,46점 장중,UP,-0.89%,장중,"66,900","68,661","66,019 (-1.3%)",당일,⚠️ x0.6,-,⏱️ Intraday Breakout | 1H,-,-,54.2%,43.1%,62.9,🚀 Intraday Breakout,54.2,43.1,82.7,-,,,,,"{'primary_theme': '금융', 'theme_direction': 'NEUTRAL', 'theme_strength_score': 0.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'inferred', 'secondary_themes': [], 'is_spac': False, 'routing_path': 'core_only', 'theme_reasons': ['THEME_LEADER_SCORE_HIGH', 'alias:증권', 'keyword:증권', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '금융', 'confidence': 0.9, 'theme_source': 'stock_master'}, {'theme_name': '친환경/에너지', 'confidence': 0.64, 'theme_source': 'keyword_fallback'}]}","{'theme_name': '금융', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 0.5867, 'turnover_growth_5d': 0.522, 'breakout_quality_score': 49.2, 'close_location_score': 80.6, 'expansion_potential_score': 46.0, 'leader_score': 71.3, 'scan_mode': 'INTRADAY'}",core_only,금융,INTRADAY,KR_CORE
⭐T2,2,373220.KS,LG에너지솔루션,68,78점 장중,UP,+4.09%,장중,"419,500","429,689","414,405 (-1.2%)",당일,⚠️ x1.0,-,⏱️ Intraday Trend | 1H,📈 Trend Continuation,-,48.4%,44.6%,61.4,📈 Intraday Trend,48.4,44.6,78.2,-,,,,,"{'primary_theme': '2차전지', 'theme_direction': 'BENEFICIARY', 'theme_strength_score': 18.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'inferred', 'secondary_themes': ['자동차', '친환경/에너지'], 'is_spac': False, 'routing_path': 'core_only', 'theme_reasons': ['THEME_LEADER_SCORE_HIGH', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '2차전지', 'confidence': 0.9, 'theme_source': 'stock_master'}, {'theme_name': '자동차', 'confidence': 0.7, 'theme_source': 'stock_master'}, {'theme_name': '친환경/에너지', 'confidence': 0.72, 'theme_source': 'seed_catalog'}]}","{'theme_name': '2차전지', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 0.9672, 'turnover_growth_5d': 1.117, 'breakout_quality_score': 51.0, 'close_location_score': 84.4, 'expansion_potential_score': 55.3, 'leader_score': 75.0, 'scan_mode': 'INTRADAY'}",core_only,2차전지,INTRADAY,KR_CORE
⭐T2,2,006400.KS,삼성SDI,66,67점 장중,UP,+2.67%,장중,"481,500","495,868","474,316 (-1.5%)",당일,⚠️ x0.8,-,⏱️ Intraday Trend | 1H,📈 Trend Continuation,-,48.0%,44.1%,59.1,📈 Intraday Trend,48.0,44.1,74.1,-,,,,,"{'primary_theme': '2차전지', 'theme_direction': 'BENEFICIARY', 'theme_strength_score': 18.0, 'theme_membership_confidence': 0.9, 'theme_source': 'stock_master', 'theme_inference_status': 'inferred', 'secondary_themes': [], 'is_spac': False, 'routing_path': 'core_only', 'theme_reasons': ['THEME_LEADER_SCORE_HIGH', 'seed_ticker_mapping', 'stock_master_primary'], 'matched_themes': [{'theme_name': '2차전지', 'confidence': 0.9, 'theme_source': 'stock_master'}, {'theme_name': '친환경/에너지', 'confidence': 0.64, 'theme_source': 'keyword_fallback'}]}","{'theme_name': '2차전지', 'theme_rank': None, 'turnover_rank_in_theme': None, 'turnover_ratio_vs_float_cap': 0.8511, 'turnover_growth_5d': 0.7, 'breakout_quality_score': 48.6, 'close_location_score': 75.3, 'expansion_potential_score': 50.6, 'leader_score': 71.1, 'scan_mode': 'INTRADAY'}",core_only,2차전지,INTRADAY,KR_CORE
