id,ticker,stock_name,alpha_score,tech_score,ml_prob,whale_score,fund_status,trend,market_type,created_at,tier,volume,context,surge,win_rate,position,strategy,decision_score,run_id,priority_rank,decision,decision_bucket,outcome_status,recommended_at,outcome_recorded_at,horizon,base_trade_date,entry_reference_price,latest_return_pct,return_1d_pct,return_2d_pct,return_3d_pct,return_5d_pct,source_ref,scan_mode,return_30m_pct,return_1h_pct,return_close_pct,strategy_family,return_7d_pct,market,quality_flags,validation_excluded,phase25_variant,phase25_shadow_variant,phase25_shadow_prob,phase25_recommended_threshold,primary_theme,theme_source,theme_inference_status,secondary_themes,theme_routing_path,expected_edge_score,expected_return_1d_pct,expected_return_3d_pct,inference_failed,target_tp_pct,stop_sl_pct,hold_days,regime_volatility_20d,regime_breadth_pct,kosdaq_chg,regime_avg_chg,volume_ratio,volume_confirmed,prob_clean,model_trace_status,model_error,feature_origin,feature_quality,feature_completeness,feature_missing_fields,validation_excluded_reason,is_dummy_data,phase25_prob,phase25_signal_direction,phase25_raw_auc,phase25_oos_auc,phase25_oos_win_rate_pct,phase25_oos_avg_return_pct,performance_updated_at,market_gate,scanner_timeframe_profile,kr_universe_role,selection_lane,rationale,theme_risk,model_prob_available_count,model_prob_mean,low_model_prob_score,low_prob_high_score,expected_edge_inversion_score,return_14d_pct,return_30d_pct,day_return_pct,conviction_score,loss_risk_score,relative_rank_score,relative_rank_pct,regime_adjusted_grade,relative_rank_model,max_high_return_5d_pct,hit_5pct_within_5d,hit_5pct_within_5d_at,swing_target_label_version,foreigner,foreign_flow,institution,institution_flow,retail,retail_flow,flow_consensus_buying,retail_dominant,dominant,whale_trend,target_horizon_days,explosive_leader_flag,core_trend_flag,explosive_eligible,explosive_gate_reasons,price_band,is_sub7,max_return_observed_pct,min_return_observed_pct,target_definition,target_return_source,label_hit_5pct_within_5d,label_win_close,label_win_1d,label_win_3d,label_hit_5pct,label_hit_10pct,label_hit_20pct,label_hit_50pct,label_hit_100pct,label_stop_loss_3pct,label_stop_loss_5pct,marcap_band,learning_quality_tier,market2,trade_date,candidate_id,candidate_description,candidate_cohort,target_pct,stop_pct,horizon_days,source_proxy,ordered_target_before_stop,ordered_stop_before_target,ordered_terminal_status,ordered_target_hit_at,ordered_stop_hit_at,ordered_bars_observed,ordered_mfe_pct,ordered_mae_pct,ordered_entry_price,ordered_entry_date,archive_entry_divergence_pct,ordered_warnings,cohort,ordered_label_ready,ordered_win,ordered_stop,primary_theme_archive,theme_membership_refreshed,theme_membership_source,theme_day_symbol_count,theme_day_avg_alpha_score,theme_day_avg_decision_score,theme_day_avg_volume_ratio,theme_day_avg_day_return_pct,theme_day_positive_return_pct,theme_day_avg_expected_return_1d_pct,theme_day_avg_expected_return_3d_pct,theme_day_strength_score,theme_day_strength_rank,theme_day_strength_pct,theme_day_strength_bucket
75628,000150.KS,000150.KS,,,,,,,KR,2026-03-30T17:16:07.553227+00:00,,,,,,,local_returns:return_3d_pct,,RUN-E5E8FACC,34.0,OBSERVE,watchlist,RESOLVED,2026-03-30T17:16:07.553227+00:00,2026-04-04T16:00:05.691806+00:00,T+3D,2026-03-31,1026000.0,65.984405,8.674464,-0.487329,4.385965,2.241715,local_returns:return_3d_pct,SWING,,,,,26.218324,,,True,,,,,친환경/에너지,,,,,,,,,,,,,,,,,,,,,outcome_sync_partial,incomplete,0.1,"['alpha_score', 'tech_score', 'ml_prob', 'whale_score', 'trend', 'volume_ratio', 'position', 'tier', 'decision_score']","FEATURE_MISSING:alpha_score,tech_score,ml_prob,whale_score,trend,volume_ratio,position,tier,decision_score",False,,,,,,,2026-05-14T09:53:26.707339+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,"['scanner_score=62.4', 'rank=34', '전략: 🚀 Momentum', '추세: UP']",,,,,,,37.134503,65.984405,,,,,,,,10.526316,True,2026-04-01,forward_high_within_5d_v1,,,,,,,,,,,3,0,1,1,['nan'],gt_15,0,65.984405,2.241715,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,all,KOSPI,2026-03-30,5D_ordered_10v5,full_kospi_ordered_search,KOSPI_ALL,10.0,5.0,5,{},False,True,stop_before_target,,2026-03-31,5.0,-1.708633,-8.723022,1112000.0,2026-03-30,-7.7338,[],Other,True,False,True,,True,stock_master,3.0,,,,,,,,1.3863,4.0,75.0,THEME_TOP7
75772,000150.KS,두산,18.0,,25.4,,,UP,KR,2026-04-01T16:16:28.357618+00:00,,,,,,,local_returns:return_3d_pct,76.0,RUN-F6CB4E70,13.0,EXCEPTION_LEADER,exception_leader,RESOLVED,2026-04-01T16:16:28.357618+00:00,2026-04-07T09:30:09.597775+00:00,T+3D,2026-04-02,1021000.0,66.797258,4.89716,5.582762,2.742409,26.836435,local_returns:return_3d_pct,SWING,,,,,26.738492,KOSPI,,True,,,,,친환경/에너지,,,,,,,,,,,,,,,,,,14.1,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-14T10:00:04.988085+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,40.842311,,,,,,,,,28.20764,True,2026-04-03,forward_high_within_5d_v1,,,,,,,,,,,3,0,1,1,['nan'],gt_15,0,40.842311,2.742409,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-01,5D_ordered_10v5,full_kospi_ordered_search,KOSPI_ALL,10.0,5.0,5,{},False,True,stop_before_target,,2026-04-02,5.0,1.704036,-9.506726,1115000.0,2026-04-01,-8.4305,[],Exception Leader,True,False,True,,True,stock_master,3.0,41.5,76.4,,,,,,2.1503,4.0,70.0,THEME_TOP7
25034,000150.KS,두산,100.0,85.0,20.6,65.0,Pass,UP,KR,2026-04-10T01:58:27.274623+00:00,🏆T1,⚠️ x1.0,-,-,50%,🌋 고점 (Peak),local_returns:return_3d_pct,93.7,RUN-FB280ABB,6.0,PRIORITY_WATCHLIST,picked,RESOLVED,2026-04-10T01:58:27.274623+00:00,2026-04-15T14:30:18.321048+00:00,T+3D,2026-04-10,1281000.0,32.943013,1.014832,6.947697,6.010929,3.825137,local_returns:return_3d_pct,SWING,,,,KR_CORE,9.992194,KOSPI,,True,phase25_kr_swing_xgboost,phase25_kr_swing_lightgbm,56.0,25.0,친환경/에너지,stock_master,inferred,[],core_only,-14.96,-1.27,-2.03,,,,,,,,,,,28.1,,,outcome_sync_partial,incomplete,0.9,['volume_ratio'],FEATURE_MISSING:volume_ratio,False,4.4,,,,,,2026-05-14T10:00:35.793602+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,"['scanner_score=95.1', 'quant_priority_score=100.0', 'quant_lane=3d', 'quant_score_1d=93.4', 'quant_score_3d=100.0', 'basket_priority_score=100.0', 'active_lane=mixed', 'rank=7', '전략: 🚀 Momentum | Profile:POSITIVE | Ranker:16.9% | ContextRisk', '추세: UP', 'quant_reason=SCAN_MODE_SWING_3D', 'quant_reason=TREND_UP', 'quant_reason=PHASE25_SWING_3D_PREMIUM', 'theme=친환경/에너지', 'priority_guard=KOSPI_SWING', 'expected_edge_watch_guard=-1.27/-2.03']","['THEME_HEADWIND', 'KOSPI_SWING_PRIORITY_GUARD', 'EXPECTED_EDGE_WATCH_GUARD']",,,,,,24.590164,,,,,,,,,9.992194,True,2026-04-14,forward_high_within_5d_v1,,,,,,,,,,,3,0,1,1,['nan'],gt_15,0,24.590164,1.014832,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-10,5D_ordered_10v5,full_kospi_ordered_search,KOSPI_ALL,10.0,5.0,5,{},False,False,no_touch,,,5.0,9.992194,-4.449649,1281000.0,2026-04-10,0.0,[],Other,True,False,False,친환경/에너지,False,stock_master,6.0,100.0,83.25,,,,-1.786,-3.032,0.1991,10.0,35.71428571428571,THEME_TAIL
30048,000150.KS,두산,,,20.7,,,UP,KR,2026-04-12T13:25:01.583431+00:00,,,,,,,planner_handoff.json#000150.KS,94.0,RUN-21FC40DE,11.0,OBSERVE,watchlist,PENDING,2026-04-12T13:25:01.583431+00:00,,T+3D,2026-04-13,1294000.0,22.256569,5.873261,4.945904,3.16847,8.732612,planner_handoff.json#000150.KS,SWING,,,,KR_CORE,11.128284,KOSPI,,True,phase25_kr_swing_xgboost,phase25_kr_swing_lightgbm,56.0,25.0,친환경/에너지,stock_master,inferred,[],core_only,-13.7,-1.16,-1.82,,,,,,,,,,,28.4,,,outcome_sync_partial,incomplete,0.4,"['alpha_score', 'tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:alpha_score,tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-12T17:10:28.648795+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,"['scanner_score=94.0', 'quant_priority_score=100.0', 'quant_lane=3d', 'quant_score_1d=98.1', 'quant_score_3d=100.0', 'basket_priority_score=100.0', 'active_lane=mixed', 'rank=11', '전략: 🚀 Momentum | Profile:POSITIVE | Ranker:16.9%', '추세: UP', 'kr_universe_role=CORE_TREND', 'scanner_timeframe_profile=DAILY_PRIMARY_WITH_1H_REFRESH', 'explosive_eligible=false', 'continuation_eligible=false', 'continuation_enabled=false', 'continuation_prob_3d=50.0', 'continuation_evidence=7', 'quant_reason=SCAN_MODE_SWING_3D', 'quant_reason=TREND_UP', 'quant_reason=PHASE25_SWING_3D_PREMIUM', 'explosive_gate=NOT_EXPLOSIVE_ROLE', 'explosive_gate=ML_PROB_LT_22', 'continuation_gate=ALPHA_SCORE_LT_32', 'continuation_gate=ML_PROB_LT_27', 'theme=친환경/에너지', 'priority_guard=KOSPI_SWING', 'expected_edge_watch_guard=-1.16/-1.82']","['KOSPI_SWING_PRIORITY_GUARD', 'EXPECTED_EDGE_WATCH_GUARD']",,,,,,,,,,,,,,,,True,2026-04-14,forward_high_within_5d_v1,,,,,,,,,,,3,0,1,1,['nan'],gt_15,0,,,forward_high_within_5d,source_ohlcv_high,,,,,,,,,,,,2,all,KOSPI,2026-04-12,5D_ordered_10v5,full_kospi_ordered_search,KOSPI_ALL,10.0,5.0,5,{},True,False,target_before_stop,2026-04-20,,5.0,13.987635,-0.15456,1294000.0,2026-04-13,0.0,[],Other,True,True,False,친환경/에너지,False,stock_master,6.0,,74.15,,,,-1.4233,-2.3267,0.6632,2.0,90.9090909090909,THEME_TOP3
32561,000150.KS,두산,96.0,85.0,19.1,71.0,Pass,UP,KR,2026-04-13T14:44:17.534522+00:00,⚡T0,⚠️ x0.8,-,-,50%,🚀 상승 (Rising),local_returns:return_3d_pct,119.0,RUN-45A28815,16.0,EXCEPTION_LEADER,exception_leader,RESOLVED,2026-04-13T14:44:17.534522+00:00,2026-04-17T09:30:04.065921+00:00,T+3D,2026-04-13,1294000.0,22.256569,5.873261,4.945904,3.16847,8.732612,local_returns:return_3d_pct,SWING,,,,KR_CORE,11.128284,KOSPI,,True,phase25_kr_swing_xgboost,phase25_kr_swing_lightgbm,56.0,25.0,친환경/에너지,stock_master,inferred,[],theme_shadow,-10.83,-0.92,-1.35,,,,,,,,,,,26.0,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-12T17:10:28.648444+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,"['scanner_score=100.0', 'quant_priority_score=100.0', 'quant_lane=3d', 'quant_score_1d=100.0', 'quant_score_3d=100.0', 'basket_priority_score=100.0', 'active_lane=mixed', 'rank=1', '전략: 🚀 Momentum | ⚡ 단기과열(강세) | Profile:POSITIVE | Ranker:16.7% | ContextTailwind', '추세: UP', 'kr_universe_role=CORE_TREND', 'scanner_timeframe_profile=DAILY_PRIMARY_WITH_1H_REFRESH', 'explosive_eligible=false', 'continuation_eligible=false', 'continuation_enabled=false', 'continuation_prob_3d=50.0', 'continuation_evidence=7', 'quant_reason=SCAN_MODE_SWING_3D', 'quant_reason=TREND_UP', 'quant_reason=PHASE25_SWING_3D_PREMIUM', 'lane_overlay_3d=kospi_core_3d:86.0', 'explosive_gate=NOT_EXPLOSIVE_ROLE', 'explosive_gate=ML_PROB_LT_22', 'continuation_gate=ALPHA_SCORE_LT_32', 'continuation_gate=ML_PROB_LT_27', 'theme=친환경/에너지', 'priority_guard=KOSPI_SWING', 'expected_edge_watch_guard=-0.97/-1.45']","['KOSPI_SWING_PRIORITY_GUARD', 'EXPECTED_EDGE_WATCH_GUARD']",,,,,,31.761978,,,,,,,,,13.987635,True,2026-04-14,forward_high_within_5d_v1,,,,,,,,,,,3,0,1,1,['nan'],gt_15,0,31.761978,3.16847,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-13,5D_ordered_10v5,full_kospi_ordered_search,KOSPI_ALL,10.0,5.0,5,{},True,False,target_before_stop,2026-04-20,,5.0,13.987635,-0.15456,1294000.0,2026-04-13,0.0,[],Exception Leader,True,True,False,친환경/에너지,False,stock_master,5.0,90.5,99.88,,,,-1.282,-2.052,0.9827,3.0,85.71428571428572,THEME_TOP3
75427,000150.KS,두산,100.0,,22.6,,,UP,KR,2026-04-14T12:38:27.595622+00:00,,,,,,,local_returns:return_3d_pct,119.0,RUN-DC17F5F0,18.0,EXCEPTION_LEADER,exception_leader,RESOLVED,2026-04-14T12:38:27.595622+00:00,2026-04-17T14:30:20.889704+00:00,T+3D,2026-04-14,1370000.0,24.306569,-0.875912,-2.554745,-2.919708,2.846715,local_returns:return_3d_pct,SWING,,,,,5.255474,KOSPI,,True,,,,,친환경/에너지,stock_master,inferred,[],,,,,,,,,,,,,,,34.2,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-14T09:50:37.905584+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,30.656934,,,,,,,,,7.664234,True,2026-04-20,forward_high_within_5d_v1,,,,,,,,,,,3,0,1,1,['nan'],gt_15,0,30.656934,-2.919708,forward_high_within_5d,source_ohlcv_high,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-14,5D_ordered_10v5,full_kospi_ordered_search,KOSPI_ALL,10.0,5.0,5,{},False,True,stop_before_target,,2026-04-17,5.0,2.846715,-5.693431,1370000.0,2026-04-14,0.0,[],Exception Leader,True,False,True,친환경/에너지,False,stock_master,3.0,100.0,106.3333,,,,-0.955,-1.41,1.1444,4.0,72.72727272727273,THEME_TOP7
75371,000150.KS,두산,100.0,,24.0,,,UP,KR,2026-04-15T17:11:56.722055+00:00,,,,,,,local_returns:return_3d_pct,119.0,RUN-B8DA715C,16.0,EXCEPTION_LEADER,exception_leader,RESOLVED,2026-04-15T17:11:56.722055+00:00,2026-04-21T14:30:11.202261+00:00,T+3D,2026-04-16,1335000.0,27.565543,-0.374532,5.393258,5.543071,8.014981,local_returns:return_3d_pct,SWING,,,,,18.501873,KOSPI,,True,,,,,친환경/에너지,stock_master,inferred,[],,,,,,,,,,,,,,,33.5,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-14T09:43:21.194904+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,"['scanner_score=100.0', 'quant_priority_score=100.0', 'quant_lane=3d', 'quant_score_1d=100.0', 'quant_score_3d=100.0', 'basket_priority_score=100.0', 'active_lane=mixed', 'rank=4', '전략: 🚀 Momentum | ⚡ 단기과열(강세) | Profile:POSITIVE | Ranker:18.0% | ContextTailwind', '추세: UP', 'kr_universe_role=CORE_TREND', 'scanner_timeframe_profile=DAILY_PRIMARY_WITH_1H_REFRESH', 'explosive_eligible=false', 'continuation_eligible=false', 'continuation_enabled=false', 'continuation_prob_3d=50.0', 'continuation_evidence=7', 'quant_reason=SCAN_MODE_SWING_3D', 'quant_reason=TREND_UP', 'quant_reason=PHASE25_SWING_3D_PREMIUM', 'lane_overlay_3d=kospi_core_3d:77.8', 'explosive_gate=NOT_EXPLOSIVE_ROLE', 'continuation_gate=ALPHA_SCORE_LT_32', 'theme=친환경/에너지', 'priority_guard=KOSPI_SWING', 'expected_edge_watch_guard=-0.13/0.19']","['KOSPI_SWING_PRIORITY_GUARD', 'EXPECTED_EDGE_WATCH_GUARD']",,,,,,29.962547,,,,,,,,,13.108614,True,2026-04-20,forward_high_within_5d_v1,,,,,,,,,,,3,0,1,1,['nan'],gt_15,0,29.962547,-0.374532,forward_high_within_5d,source_ohlcv_high,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-15,5D_ordered_10v5,full_kospi_ordered_search,KOSPI_ALL,10.0,5.0,5,{},False,False,no_touch,,,5.0,8.615611,-4.860088,1358000.0,2026-04-15,-1.6937,[],Exception Leader,True,False,False,친환경/에너지,False,stock_master,4.0,100.0,99.7,,,,-1.0,-1.5067,1.2291,3.0,81.81818181818181,THEME_TOP3
69611,000150.KS,두산,100.0,,26.2,,,UP,KR,2026-04-16T05:18:23.56152+00:00,,,,,,,planner_handoff.watchlist_meta#000150.KS,119.0,RUN-1E9AB981,13.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-16T05:18:23.56152+00:00,,T+3D,2026-04-16,1335000.0,18.501873,-0.374532,5.393258,5.543071,8.014981,planner_handoff.watchlist_meta#000150.KS,SWING,,,,,18.501873,KOSPI,,True,,,,,친환경/에너지,stock_master,inferred,[],,,,,,,,,,,,,,,37.1,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-12T17:10:28.648097+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,29.962547,,,,,,,,,,True,2026-04-20,forward_high_within_5d_v1,,,,,,,,,,,3,0,1,1,['nan'],gt_15,0,,,forward_high_within_5d,source_ohlcv_high,,,,,,,,,,,,2,all,KOSPI,2026-04-16,5D_ordered_10v5,full_kospi_ordered_search,KOSPI_ALL,10.0,5.0,5,{},True,False,target_before_stop,2026-04-20,,5.0,10.486891,-3.220974,1335000.0,2026-04-16,0.0,[],Exception Leader,True,True,False,친환경/에너지,False,stock_master,2.0,96.5,119.0,,,,,,2.2886,1.0,100.0,THEME_TOP3
45841,000150.KS,두산,99.0,85.0,50.0,70.0,Pass,UP,KR,2026-04-17T14:03:08.261065+00:00,🏆T1,⚠️ x0.8,-,-,50%,🚀 상승 (Rising),local_returns:return_3d_pct,100.0,RUN-D5FE6B22,1.0,OBSERVE,watchlist,RESOLVED,2026-04-17T14:03:08.261065+00:00,2026-04-22T14:30:37.898292+00:00,T+3D,2026-04-17,1330000.0,28.045113,5.789474,5.93985,8.120301,15.864662,local_returns:return_3d_pct,SWING,,,,KR_CORE,19.022556,KOSPI,,True,,,,,친환경/에너지,stock_master,inferred,[],theme_shadow,15.71,1.34,3.05,,,,,,,,,,,50.0,,,outcome_sync_partial,incomplete,0.9,['volume_ratio'],FEATURE_MISSING:volume_ratio,False,,,,,,,2026-05-14T09:49:45.229622+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,"['scanner_score=100.0', 'quant_priority_score=100.0', 'quant_lane=3d', 'quant_score_1d=100.0', 'quant_score_3d=100.0', 'basket_priority_score=100.0', 'active_lane=mixed', 'rank=1', '전략: 🚀 Momentum | ⚡ 단기과열(강세) | Profile:POSITIVE | Ranker:18.7%', '추세: UP', 'kr_universe_role=CORE_TREND', 'scanner_timeframe_profile=DAILY_PRIMARY_WITH_1H_REFRESH', 'explosive_eligible=false', 'continuation_eligible=false', 'continuation_enabled=false', 'continuation_prob_3d=50.0', 'continuation_evidence=7', 'quant_reason=SCAN_MODE_SWING_3D', 'quant_reason=TREND_UP', 'quant_reason=EXPECTED_RETURN_1D_3D', 'lane_overlay_1d=kospi_core_1d:65.3', 'lane_overlay_3d=kospi_core_3d:76.0', 'explosive_gate=NOT_EXPLOSIVE_ROLE', 'continuation_gate=ALPHA_SCORE_LT_45', 'theme=친환경/에너지', 'priority_guard=KOSPI_SWING', 'expected_edge_watch_guard=1.34/3.05']","['KOSPI_SWING_PRIORITY_GUARD', 'EXPECTED_EDGE_WATCH_GUARD']",,,,,,29.323308,,,,,,,,,16.466165,True,2026-04-20,forward_high_within_5d_v1,,,,,,,,,,,3,0,1,1,['nan'],gt_15,0,29.323308,5.789474,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-17,5D_ordered_10v5,full_kospi_ordered_search,KOSPI_ALL,10.0,5.0,5,{},True,False,target_before_stop,2026-04-20,,5.0,10.902256,2.481203,1330000.0,2026-04-17,0.0,[],Top1,True,True,False,친환경/에너지,False,stock_master,9.0,92.3333,62.4222,,,,0.2544,0.9444,3.4736,4.0,85.0,THEME_TOP7
96864,000150.KS,두산,100.0,,50.0,,,UP,KR,2026-04-19T14:13:50.262628+00:00,,,,,,,local_returns:return_3d_pct,100.0,RUN-7D61E98D,4.0,OBSERVE,watchlist,RESOLVED,2026-04-19T14:13:50.262628+00:00,2026-04-23T14:30:05.331046+00:00,T+3D,2026-04-20,1407000.0,19.545131,0.142146,2.203269,2.487562,12.437811,local_returns:return_3d_pct,SWING,,,,KR_CORE,11.727079,KOSPI,,True,,,,,친환경/에너지,stock_master,inferred,[],core_only,14.14,1.2,2.79,,,,,,,,,,,50.0,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T09:31:54.444837+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,19.118692,,,86.2,,,,,,14.996446,True,2026-04-23,forward_high_within_5d_v1,,,,,,,,,,,3,0,1,1,['nan'],gt_15,0,19.118692,0.142146,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-19,5D_ordered_10v5,full_kospi_ordered_search,KOSPI_ALL,10.0,5.0,5,{},True,False,target_before_stop,2026-04-24,,5.0,10.092395,-1.563611,1407000.0,2026-04-20,0.0,[],Top5,True,True,False,친환경/에너지,False,stock_master,7.0,81.0,78.0286,,,,0.6114,1.6429,3.9544,3.0,88.88888888888889,THEME_TOP3
