Tier,_tier_sort,Ticker,Name,Antigrav,Whale,Trend,1D Change,Consecutive,RS vs SPY,Entry(-2%),Target,Stop,Hold,Volume,Strategy,Surge,WR,Position,Context,_prob_5,_prob_clean,Decision Score
T3,3,AMZN,AMZN,38,60.0pts,DOWN,+1.68%,1 UP,-0.9% vs SPY,198.63,209.16,188.70 (-5.0%),3d,⚠️ x0.9,🚀 Momentum,-,52%,📉 바닥 (Bottom),-,0.0,0.0,45.8
T3,3,NVDA,NVDA,33,40.0pts,DOWN,-0.46%,3 DOWN,-3.4% vs SPY,163.41,173.33,155.24 (-5.0%),3d,⚠️ x1.1,🚀 Momentum,-,61%,📉 바닥 (Bottom),-,0.0,0.0,31.8
T3,3,AAPL,AAPL,36,35.0pts,DOWN,-0.98%,2 DOWN,+1.8% vs SPY,241.43,251.49,231.38 (-4.2%),3d,⚠️ x0.7,🚀 Momentum,-,52%,📉 바닥 (Bottom),-,0.0,0.0,25.6
